0	0	0.000000	0.000000
1	1	0.076643	0.000000
2	2	0.152834	0.000000
3	3	0.228127	0.000000
4	4	0.302077	0.000000
5	5	0.374251	0.000000
6	6	0.444223	0.000000
7	7	0.511582	0.000000
8	8	0.575931	0.000000
9	9	0.636892	0.000000
10	10	0.694106	0.000000
11	11	0.747238	0.000000
12	12	0.795973	0.000000
13	13	0.840026	0.000000
14	14	0.879137	0.000000
15	15	0.913077	0.000000
16	16	0.941645	0.000000
17	17	0.964674	0.000000
18	18	0.982028	0.000000
19	19	0.993604	0.000000
20	20	0.999336	0.000000
21	21	0.999189	0.000000
22	22	0.993164	0.000000
23	23	0.981296	0.000000
24	24	0.963656	0.000000
25	25	0.940347	0.000000
26	26	0.911506	0.000000
27	27	0.877303	0.000000
28	28	0.837939	0.000000
29	29	0.793645	0.000000
30	30	0.744683	0.000000
31	31	0.691340	0.000000
32	32	0.633930	0.000000
33	33	0.572791	0.000000
34	34	0.508282	0.000000
35	35	0.440783	0.000000
36	36	0.370691	0.000000
37	37	0.298418	0.000000
38	38	0.224390	0.000000
39	39	0.149042	0.000000
40	40	0.072817	0.000000
41	41	-0.003836	0.000000
42	42	-0.080467	0.000000
43	43	-0.156624	0.000000
44	44	-0.231860	0.000000
45	45	-0.305732	0.000000
46	46	-0.377805	0.000000
47	47	-0.447656	0.000000
48	48	-0.514874	0.000000
49	49	-0.579062	0.000000
50	50	-0.639845	0.000000
51	51	-0.696863	0.000000
52	52	-0.749781	0.000000
53	53	-0.798289	0.000000
54	54	-0.842101	0.000000
55	55	-0.880959	0.000000
56	56	-0.914634	0.000000
57	57	-0.942929	0.000000
58	58	-0.965677	0.000000
59	59	-0.982744	0.000000
60	60	-0.994030	0.000000
61	61	-0.999469	0.000000
62	62	-0.999027	0.000000
63	63	-0.992709	0.000000
64	64	-0.980551	0.000000
65	65	-0.962624	0.000000
66	66	-0.939035	0.000000
67	67	-0.909921	0.000000
68	68	-0.875455	0.000000
69	69	-0.835839	0.000000
70	70	-0.791306	0.000000
71	71	-0.742117	0.000000
72	72	-0.688563	0.000000
73	73	-0.630958	0.000000
74	74	-0.569642	0.000000
75	75	-0.504975	0.000000
76	76	-0.437336	0.000000
77	77	-0.367126	0.000000
78	78	-0.294755	0.000000
79	79	-0.220651	0.000000
80	80	-0.145248	0.000000
81	81	-0.068991	0.000000
82	82	0.007672	0.000000
83	83	0.084290	0.000000
84	84	0.160411	0.000000
85	85	0.235590	0.000000
86	86	0.309382	0.000000
87	87	0.381354	0.000000
88	88	0.451083	0.000000
89	89	0.518158	0.000000
90	90	0.582186	0.000000
91	91	0.642788	0.000000
92	92	0.699609	0.000000
93	93	0.752314	0.000000
94	94	0.800594	0.000000
95	95	0.844164	0.000000
96	96	0.882768	0.000000
97	97	0.916178	0.000000
98	98	0.944200	0.000000
99	99	0.966666	0.000000
100	100	0.983447	0.000000
101	101	0.994441	0.000000
102	102	0.999586	0.000000
103	103	0.998851	0.000000
104	104	0.992239	0.000000
105	105	0.979791	0.000000
106	106	0.961578	0.000000
107	107	0.937709	0.000000
108	108	0.908324	0.000000
109	109	0.873595	0.000000
110	110	0.833727	0.000000
111	111	0.788954	0.000000
112	112	0.739541	0.000000
113	113	0.685776	0.000000
114	114	0.627978	0.000000
115	115	0.566485	0.000000
116	116	0.501660	0.000000
117	117	0.433884	0.000000
118	118	0.363555	0.000000
119	119	0.291087	0.000000
120	120	0.216907	0.000000
121	121	0.141452	0.000000
122	122	0.065164	0.000000
123	123	-0.011508	0.000000
124	124	-0.088111	0.000000
125	125	-0.164197	0.000000
126	126	-0.239316	0.000000
127	127	-0.313027	0.000000
128	128	-0.384898	0.000000
129	129	-0.454503	0.000000
130	130	-0.521435	0.000000
131	131	-0.585300	0.000000
132	132	-0.645722	0.000000
133	133	-0.702344	0.000000
134	134	-0.754836	0.000000
135	135	-0.802886	0.000000
136	136	-0.846214	0.000000
137	137	-0.884563	0.000000
138	138	-0.917709	0.000000
139	139	-0.945456	0.000000
140	140	-0.967642	0.000000
141	141	-0.984134	0.000000
142	142	-0.994838	0.000000
143	143	-0.999689	0.000000
144	144	-0.998659	0.000000
145	145	-0.991755	0.000000
146	146	-0.979016	0.000000
147	147	-0.960518	0.000000
148	148	-0.936369	0.000000
149	149	-0.906713	0.000000
150	150	-0.871722	0.000000
151	151	-0.831603	0.000000
152	152	-0.786592	0.000000
153	153	-0.736953	0.000000
154	154	-0.682979	0.000000
155	155	-0.624988	0.000000
156	156	-0.563320	0.000000
157	157	-0.498338	0.000000
158	158	-0.430424	0.000000
159	159	-0.359979	0.000000
160	160	-0.287415	0.000000
161	161	-0.213161	0.000000
162	162	-0.137653	0.000000
163	163	-0.061335	0.000000
164	164	0.015343	0.000000
165	165	0.091932	0.000000
166	166	0.167979	0.000000
167	167	0.243039	0.000000
168	168	0.316668	0.000000
169	169	0.388435	0.000000
170	170	0.457917	0.000000
171	171	0.524705	0.000000
172	172	0.588406	0.000000
173	173	0.648646	0.000000
174	174	0.705070	0.000000
175	175	0.757346	0.000000
176	176	0.805167	0.000000
177	177	0.848252	0.000000
178	178	0.886346	0.000000
179	179	0.919226	0.000000
180	180	0.946699	0.000000
181	181	0.968602	0.000000
182	182	0.984808	0.000000
183	183	0.995220	0.000000
184	184	0.999777	0.000000
185	185	0.998454	0.000000
186	186	0.991256	0.000000
187	187	0.978227	0.000000
188	188	0.959444	0.000000
189	189	0.935016	0.000000
190	190	0.905088	0.000000
191	191	0.869836	0.000000
192	192	0.829466	0.000000
193	193	0.784217	0.000000
